Country,Site,Transect,Rugosity,Acanthastrea ,Acropora,Alveopora,Astreopora ,Caulastrea,Coscinaraea ,Cyphastrea ,Diploastrea ,Echinopora ,Favia ,Favites ,Fungia ,Galaxea ,Goniastrea ,Goniopora ,Unidentified HC,Halomitra,Hydnophora ,Leptastrea ,Leptoria ,Leptoseris ,Lobophyllia ,Merulina,Montipora ,Montastrea ,Mycedium,Oulophyllia,Oxypora,Pachyseris,Pavona ,Pectinia,Platygyra ,Plerogyra,Pocillopora ,Podabacia,Porites ,Psammocora ,Siderastrea,Turbinaria 
Singapore,Djunk,1,2.039,0,0,0,0,0,0,0.376634831,0,0,0,0,0,0.298759704,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244320852,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Djunk,2,2.174,0,0,0,0.049494485,0,0,0,0,0,0.111157268,0,0,0,0,0,0,0,0.061368367,0,0,0,0,0.169548522,0,0,0,0,0,0,0,0.354154097,0,0,0,0.161165914,0.313623545,0,0,0
Singapore,Djunk,3,2.023,0,0,0,0,0,0,0,0,0,0.01200156,0,0,0,0,0.170380207,0,0,0,0,0,0.088393907,0,0,0,0,0,0,0,0,0.165992427,1.195270078,0,0,0,0,0,0,0,0.802153457
Singapore,Djunk,4,1.763,0,0,0,0,0,0,0.054256409,0,0,0.009934294,0,0.13541124,0,0,0,0,0,0,0,0,0,0,0.038190461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Djunk,5,1.789,0,0,0,0.104718012,0,0,0.033207596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160745548,0,0.120899078,0,0,0,0,0,0,0,0,0,0
Singapore,Djunk,6,1.825,0,0,0.192979704,0,0,0,0,0,0,0,0,0.062224832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150080821,0.152329127
Singapore,Hantu,1,2.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266931298,12.56762631,0,0,0,0,0,0,0.245278188,0,0,0,0,0,0,0,0,0,0,0,0,0,1.218260346,0,0,0.897480615
Singapore,Hantu,2,2.398,0,0,0,0,0,0,0,0,0.19763362,0,0,0,0,0.433281657,3.90650143,0,0,0,0,0,0.189238113,0,0.120958648,0,0,0,0,0,0.19194958,0.710596591,1.476452707,0.993008237,0.12455776,0,0,1.383938954,0,0,0
Singapore,Hantu,3,1.977,0,0,0,0,0,0,0.045987015,0,0,0.283447697,0,0.263487453,0,0.69991454,0,0,0,0,0,0,0,0,0.152352946,0,0,0,0,0,0.38389916,0,0.130023319,0.078168876,0,0,0,1.474975471,0,0,0
Singapore,Hantu,4,2.412,0,0,0,0,0,0,0,0,0.397795926,0.152753256,0,0,0.333155356,0.101177771,1.156530029,0,0,0,0,0,0,0.293936382,0.127887379,0,0,0,0,0,0,0.144853432,0,0.219520492,0,0,0,0.266104826,0,0,0
Singapore,Hantu,5,2.148,0,0,0,0,0,0,0,0,0.157912488,0.021935854,0,0,0,0.396381225,0.368376231,0,0,0,0,0.122736733,0,0,0.987398131,0,0,0,0,0,0.19194958,0,0.708308194,0,0.126627982,0,0,0,0,0,0
Singapore,Hantu,6,1.791,0,0,0,1.068866987,0.214266232,0,0,0,0,0.011115589,0,0,0,0,0,0,0,0,0,0,0,0,0.096983504,0.105569321,0,0,0,0,0,0.132585917,0.376288728,0,0,0,0,0,0,0,0
Singapore,Hantu,7,2.298,0.035615138,0,0,0.542053292,0,0,0.435608096,0,0,0,0.01436415,0,0,0,0,0,0,0,0,0,0,0.134059459,1.654973873,0,0,0,0.103762386,0,0.156537554,0,0,0.392138175,0,0,0,0,0,0,0
Singapore,Kusu,1,2.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.316571483,0,0,0,0,0.223458521,0.384720514,0,0.189456998,0.122756773,0,0,0,0,1.240069511,0,0,0,0.637143178,0,0,0
Singapore,Kusu,2,2.531,0,0,0,0,0,0,0,0,0.189241509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115159018,0,0.213377956,0.518021186,0,0,0,0,0,0,1.346809366,0,0
Singapore,Kusu,3,2.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024527299,0,0,0,0,0,0.308129494,0,0.580921593,0.2042683,0,0,0,0,0,0,0.106582838,0.035615138,0.0729178,0,0,0,0,0.089050827,0,0
Singapore,Kusu,4,2.588,0,0,0,0,0,0,0,0,0.044628768,0.615470461,0,0,0,0.110402879,0,0,0,0.076333053,0,0,0,0.189668824,0.104709473,0.126292422,0,0,0,0,0,0,0.575500408,0.865012521,0,0,0.063943689,0,0,0,0
Singapore,Kusu,5,2.534,0,0,0,0,0,0,0,0,0,0,0.015840769,0,0,0,0.144626978,0,0,0,0,0,0,0,0,0,0,0,0,0,2.629825283,0,1.195270078,0.13321165,0,0,0,0,0.948383171,0,0
Singapore,Kusu,6,3.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179904671,0,0,0,0,0,0,0.516373839,0,0,0,0,0,0,0,0,0.221346311,0,0,2.732137751,0,0,0.066056539,0,0
Singapore,Satuma,1,2.332,0.036902799,0.409504072,0,0,0,0.031752153,0.019937559,0.11840162,0,0,0.008752999,0,0,0,0.379578363,0,0,0.044628768,0,0,0,0,0.259072509,0.452056746,0.012586442,0,0.115159018,0,0.146477259,0.793617711,0,0,0,0.86317298,0,0.121557113,0,0.039478122,0
Singapore,Satuma,2,1.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045719812,0.082819228,0,0,0,0,0,0,0,0.55983964,1.04964269,0,0,0,0,0,0,0.187528701,0,0,0,0,0,0,0,0
Singapore,Satuma,3,2.171,0,0,0,0,0,0.034327476,0,0,0,0,0.007571704,0,0,0.388296589,0,0,0,0,0,0,0,0.27308287,0.921986439,0,0,0,0,0,0.193483815,0,1.43875102,0.327406544,0,0,0,0.652150683,0.429367505,0,0
Singapore,Satuma,4,2.321,0,0,0,0,0.178727993,0,0,0,0,0,0,1.119801195,0,0.035298607,0,0,0,0.456312076,0,0,0,0,0.37694836,0.862075233,0,0,0,0,0,0.094200759,2.988175195,0.773208573,0,0,0,0,0,0.227885589,0
Singapore,Satuma,5,1.911,0.407474119,0,0,0,0.107995989,0,0,0,0,0,0.01455276,0.505051755,0.127859774,0,0.036902799,0,0,0,0,0,0,0,1.311005614,0.289085762,0,0,0,0,0,0.585874329,1.549424175,0.370560965,0,0,0.061368367,0,0,0,0
Singapore,Satuma,6,2.15,0,0,0,0.709688854,0,0,0,0,0,0,0.010524941,0,0.059819413,2.221758933,0,0,0,0.125725028,0,0.060080705,0,0,1.386565459,0,0,0,0,0.147020372,0.199167855,0.258781227,0,0,0,0,0,0.428762819,0.249379945,0,0
Singapore,Semakau,1,2.777,0,0,0,0,0,0,0,0,0,0.006981056,0,0.409860269,5.08009194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863250612,0.046902808,0,0,0,0,0,0,0
Singapore,Semakau,2,1.887,0,0,0,0,0,0.034327476,0,0,0.227588056,0.220310939,0,0.336673861,0,0.015356638,0,0,0,0,0,0.042053445,0,0.412106281,0.654572655,0,0,0,0,0,0.362697234,0,2.943905933,0.107924975,0,0,0,0,0,0,0
Singapore,Semakau,3,2.118,0,0,0,0,0.460764474,0.116298426,0,0,0,0.009343646,0,1.313728791,0,0,0.505446457,0,0,0,0,0.106436517,0,0,0.063504307,0,0,0.047204091,0,0,0,0,0.376288728,0,0,0,0,0,0,0,0
Singapore,Semakau,4,2.558,0,0,0,0,0,0,0,0,0,0.333140389,0.027735615,0,0,0,1.082269342,0,0,0,0,0,0,0,0.705588941,0,0,0,0,0,0,0.681713085,0.376288728,1.399226849,0.195289764,0,0,0,0,0,0
Singapore,Semakau,5,2.272,0,0,0,0.526813695,0,0,0,0,0,0.011115589,0,0.720902502,0,0,0,0,0,0.216246964,0,0,0,0,0,0,0,0,0,0,0.140793219,0,2.169193845,0.327406544,0,0,0,0,0,0,0
Singapore,Semakau,6,2.14,0,0,0,0,0,0,0,0,0.640706545,0.299179774,0.009048322,0.281784055,0.229968399,0.571658276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115215038,0,2.434809418,0,0,0,0,0,0,0,0
Singapore,Sisters,1,1.981,0,0,0,0,0,0,0,0,0,0,0.155126784,0.281784055,0,0,0,0,1.039279762,0,0,0,0,0,0.077668583,0,0,0,0.17214218,0,0,0,0.597635039,0.032083003,0,0,0,1.692123508,0,0,0
Singapore,Sisters,2,2.08,0.066519012,0,0,0,0.091434218,0,0,0,0,0.263088223,0.01200156,0,0.195572746,0.240036806,0,0,0,0,0.055397789,0,0,0.495520327,0.604534199,0,0.179553798,0,0.404248411,0,0.146477259,0,2.47907868,0.521601438,0,0,0.039478122,0,0,0,0
Singapore,Sisters,3,2.17,0,0,0,0,0.052100011,0,0,0,0,0.162292466,0,0,0.080476704,0,0.031752153,0,0,0,0.053035198,0,0,0,0,0,0,0,1.108659842,0,0.202009875,0,0.486961884,0.683430516,0,0.206498783,0,0.235160003,0.392992104,0,0
Singapore,Sisters,4,2.113,0,0,0,0,0,0,0,0,0.257910698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114571382,0,0,0,0,0,0.120899078,0,0.442692621,0,0,0,0,0.916429449,0.209427958,0,0
Singapore,Sisters,5,2.297,0,0,0,0.055630432,0,0,0,0,0.474237821,0.453177995,0,0,0,0,0.359809342,0,0,0,0,0.043341106,0,0,0.065231351,0,0,0,0,0,0.447957836,0,0,0.030332644,0,0,0,0,0,0,0
Singapore,Sisters,6,1.918,0,0,0,0,0,0,0,0,0,0.00963897,0.014659474,0,0,0,0,0,0,0.336763468,0,0,0,0,0.034327476,0,0,0,0,0,0,0,0,0.553967254,0,0,0,0,0,0,0.644245443
Singapore,TPT,1,2.031,0,0,0,0,0,0,0,0,1.308235033,0.010524941,0,0.13541124,0.422502696,0,0.627406065,0,0,0,0,0.051067075,0,0,0.224212129,0,0,0,0,0,0,0,0.416306417,0,0,0,0,0,0,0,0
Singapore,TPT,2,2.33,0,0,0,0,0,0,0,0,0.427236742,0,0,0,0,0,0,0.04666039,0,0,0,0.308129494,0,0,0.934779683,0,0,0,0,0,0.762114279,0.085145829,0.554225452,0.812893779,0,0,0,0,0,0,0
Singapore,TPT,3,2.207,0,0,0,0,0,0,0,0,0.297104322,0.021049883,0,0,0,0.147303311,0,0,0,0,0,0.887455197,0,0.95132085,0.235843562,0.127667081,0,0,0,0.143483986,0.512016513,0.103789217,0,1.424552446,0,0,0,0,0,0,0
Singapore,TPT,4,2.662,0,0,0,0,0,0.507571513,0,0,0.645591456,0.010229618,0,0,0.533955866,0.959112809,0,0,0,1.741359589,0,0,0.492081184,0,0,0,0,0,0,0,0.365539254,0,1.084596923,0.60791028,0,0,0,0,0,0,0
Singapore,TPT,5,2.131,0,0,0,0,0,0,0,0,0,0.008162351,0.013182855,0,1.534178718,0,0,0,0,0,0,0.18624104,0.287716441,0,0.191831068,0,0,0,0,0,0,0,1.018193029,2.295594196,0,0,0,0,0,0,0
Singapore,TPT,6,1.863,0,0,0,0,0,0,0,0,0,0.010229618,0,0,0,0,0.079395627,0,0,0,0,0,0.184195902,0.120157118,0.881523579,0,0,0,0,0,0,0,0.518861597,1.010837061,0,0,0,0,0,0,0
